job,operation,machine,processing_time,energy_consumption
0,0,1,28,5
0,0,2,15,6
0,0,3,23,8
0,0,4,22,8
0,1,0,9,7
0,1,1,7,5
0,1,2,9,5
0,1,4,12,6
0,2,0,14,5
0,2,2,18,6
0,2,3,28,10
0,2,4,20,8
0,2,1,15,10
0,3,0,16,1
0,3,1,5,3
0,3,3,13,1
0,3,4,8,4
0,3,2,9,1
0,4,4,4,2
0,4,3,3,6
0,4,0,1,2
0,4,1,9,2
1,5,3,13,7
1,5,4,18,7
1,5,1,17,6
1,5,0,21,6
1,5,2,18,6
1,6,0,18,6
1,6,4,19,8
1,6,2,22,7
1,6,3,12,4
1,6,1,21,7
1,7,1,21,4
1,7,2,16,3
1,7,3,11,5
1,7,0,23,4
1,7,4,12,4
1,8,4,14,7
1,8,3,18,4
1,8,2,18,7
1,8,0,16,4
1,9,0,10,7
1,9,2,10,3
1,9,4,13,5
1,9,3,8,5
2,10,1,27,8
2,10,4,20,8
2,10,0,14,5
2,10,2,19,4
2,10,3,19,8
2,11,1,8,5
2,11,2,14,7
2,11,4,19,7
2,11,0,7,9
2,12,3,22,8
2,12,1,29,7
2,12,4,26,9
2,12,0,17,8
2,13,4,15,5
2,13,1,5,2
2,13,0,6,4
2,13,3,4,3
2,13,2,7,4
2,14,4,11,4
2,14,3,10,6
2,14,1,18,7
2,14,0,8,9
3,15,4,22,8
3,15,0,12,6
3,15,3,22,5
3,15,1,18,5
3,16,1,3,7
3,16,4,8,4
3,16,2,2,4
3,16,3,1,7
3,17,1,21,7
3,17,0,18,6
3,17,2,19,8
3,17,4,16,8
3,17,3,12,5
3,18,3,18,6
3,18,4,8,8
3,18,1,9,6
3,18,0,12,3
3,19,4,15,5
3,19,0,21,4
3,19,1,18,6
3,19,3,12,2
4,20,1,18,4
4,20,2,16,3
4,20,4,13,6
4,20,3,10,6
4,21,3,29,5
4,21,0,28,6
4,21,4,17,4
4,21,1,29,4
4,21,2,24,4
4,22,2,17,6
4,22,3,16,7
4,22,1,17,4
4,22,4,10,8
4,22,0,22,4
4,23,0,26,6
4,23,1,29,2
4,23,3,17,2
4,23,2,19,3
4,23,4,16,1
4,24,0,12,6
4,24,1,6,3
4,24,4,5,8
4,24,3,7,6
5,25,2,16,6
5,25,4,10,5
5,25,1,10,4
5,25,0,10,3
5,25,3,7,6
5,26,4,9,4
5,26,0,5,6
5,26,1,12,5
5,26,2,6,6
5,26,3,13,8
5,27,3,18,7
5,27,2,23,7
5,27,0,27,4
5,27,4,28,8
5,28,3,11,9
5,28,4,14,9
5,28,2,2,7
5,28,1,9,7
5,29,4,7,3
5,29,2,7,7
5,29,1,12,8
5,29,0,3,6
5,29,3,8,8
6,30,1,26,5
6,30,4,24,4
6,30,0,18,9
6,30,2,25,8
6,31,4,24,6
6,31,3,31,3
6,31,0,22,4
6,31,1,27,2
6,31,2,31,1
6,32,3,29,7
6,32,1,22,6
6,32,0,24,7
6,32,2,18,2
6,32,4,15,6
6,33,0,8,10
6,33,4,8,8
6,33,1,2,5
6,33,2,5,6
6,33,3,4,5
6,34,2,20,4
6,34,3,11,6
6,34,0,10,2
6,34,4,17,2
7,35,1,13,3
7,35,2,11,4
7,35,0,2,3
7,35,3,7,5
7,35,4,3,2
7,36,4,15,7
7,36,3,14,10
7,36,2,8,8
7,36,1,6,9
7,36,0,17,10
7,37,4,19,6
7,37,2,18,10
7,37,0,14,8
7,37,1,13,8
7,38,4,5,6
7,38,0,8,8
7,38,1,12,6
7,38,3,7,7
7,39,4,30,7
7,39,2,17,6
7,39,3,30,8
7,39,0,21,5
7,39,1,24,6
8,40,2,12,6
8,40,4,16,2
8,40,0,8,5
8,40,1,5,5
8,40,3,4,3
8,41,2,6,8
8,41,1,14,3
8,41,3,14,8
8,41,0,11,3
8,41,4,12,5
8,42,0,16,5
8,42,2,13,5
8,42,4,18,7
8,42,3,26,8
8,43,3,21,1
8,43,4,19,5
8,43,0,20,2
8,43,1,24,2
8,44,3,15,10
8,44,0,21,10
8,44,2,22,8
8,44,4,23,5
9,45,4,4,4
9,45,3,8,7
9,45,1,4,6
9,45,0,4,3
9,45,2,11,7
9,46,2,10,7
9,46,3,5,9
9,46,4,9,7
9,46,1,4,6
9,46,0,7,5
9,47,4,8,1
9,47,0,12,5
9,47,2,3,2
9,47,1,9,5
9,48,0,18,3
9,48,3,28,3
9,48,4,19,3
9,48,1,21,2
9,48,2,32,4
9,49,4,25,3
9,49,1,18,8
9,49,0,28,4
9,49,3,17,4
9,49,2,27,7
