job,operation,machine,processing_time,energy_consumption
0,0,0,11,6
0,0,4,13,4
0,0,1,9,3
0,0,2,4,5
0,1,2,5,1
0,1,1,10,3
0,1,0,14,6
0,1,4,11,1
0,1,5,15,2
0,2,0,4,9
0,2,2,4,6
0,2,1,1,7
0,2,4,2,9
0,2,3,5,5
0,3,5,13,9
0,3,3,13,7
0,3,1,22,4
0,3,4,11,7
0,4,1,21,5
0,4,2,18,4
0,4,4,19,2
0,4,0,22,1
1,5,4,9,7
1,5,2,20,5
1,5,5,17,9
1,5,1,15,9
1,6,1,10,8
1,6,0,10,9
1,6,5,11,8
1,6,3,9,6
1,6,2,6,6
1,7,5,7,9
1,7,0,11,5
1,7,3,4,7
1,7,2,10,4
1,8,5,12,7
1,8,2,5,8
1,8,3,3,6
1,8,4,11,3
1,9,2,24,4
1,9,0,24,5
1,9,5,29,6
1,9,4,17,7
2,10,1,11,4
2,10,0,20,4
2,10,5,25,4
2,10,4,14,6
2,11,4,5,3
2,11,5,6,5
2,11,3,12,7
2,11,1,6,7
2,11,0,9,8
2,12,4,16,8
2,12,0,20,6
2,12,1,18,4
2,12,2,19,8
2,13,0,17,5
2,13,2,10,7
2,13,1,23,9
2,13,4,10,7
2,13,5,10,7
2,14,5,25,8
2,14,3,24,8
2,14,1,18,4
2,14,2,23,7
3,15,4,11,6
3,15,0,14,9
3,15,5,3,8
3,15,3,9,7
3,16,0,9,9
3,16,3,10,9
3,16,5,13,7
3,16,2,12,7
3,16,1,7,9
3,17,1,21,4
3,17,4,23,9
3,17,3,18,5
3,17,5,17,8
3,17,0,9,7
3,18,0,14,4
3,18,5,22,6
3,18,3,21,1
3,18,1,11,6
3,18,4,14,5
3,19,2,8,5
3,19,3,6,8
3,19,4,6,4
3,19,1,11,4
3,19,0,2,7
4,20,1,24,3
4,20,3,22,3
4,20,4,20,1
4,20,5,16,3
4,20,2,10,3
4,21,4,31,7
4,21,0,24,7
4,21,5,26,4
4,21,2,24,5
4,21,3,22,5
4,22,2,14,3
4,22,3,3,4
4,22,4,8,4
4,22,0,11,1
4,22,5,15,6
4,23,5,8,6
4,23,3,10,3
4,23,0,8,3
4,23,1,14,3
4,23,4,9,3
4,24,1,21,4
4,24,4,19,4
4,24,0,12,9
4,24,2,18,5
5,25,5,26,7
5,25,3,16,8
5,25,1,24,9
5,25,2,18,9
5,26,4,26,7
5,26,1,24,6
5,26,3,25,9
5,26,0,13,7
5,26,5,21,5
5,27,5,14,5
5,27,1,26,2
5,27,3,15,6
5,27,4,22,5
5,28,1,24,1
5,28,5,24,1
5,28,2,19,2
5,28,3,27,3
5,29,5,21,10
5,29,2,29,9
5,29,3,23,5
5,29,4,31,8
6,30,5,30,4
6,30,0,21,8
6,30,4,21,9
6,30,1,23,9
6,31,3,13,5
6,31,5,16,8
6,31,1,14,8
6,31,4,19,9
6,32,2,20,6
6,32,0,12,5
6,32,3,16,6
6,32,4,12,9
6,33,5,12,2
6,33,3,15,6
6,33,0,16,5
6,33,4,26,3
6,34,0,18,6
6,34,2,17,9
6,34,3,14,5
6,34,1,15,10
7,35,5,22,3
7,35,1,19,6
7,35,2,20,3
7,35,3,22,4
7,36,0,22,6
7,36,3,22,9
7,36,1,12,9
7,36,5,22,8
7,36,4,22,4
7,37,0,14,3
7,37,1,11,4
7,37,4,7,2
7,37,3,17,6
7,38,0,1,5
7,38,2,10,2
7,38,1,1,4
7,38,4,3,6
7,39,0,20,6
7,39,5,28,2
7,39,1,15,7
7,39,4,29,4
8,40,1,17,9
8,40,0,20,10
8,40,4,19,5
8,40,2,16,9
8,41,2,15,5
8,41,4,22,4
8,41,1,25,2
8,41,3,14,6
8,41,5,21,5
8,42,3,21,5
8,42,1,12,3
8,42,0,19,4
8,42,5,14,6
8,43,4,5,8
8,43,5,7,7
8,43,1,4,4
8,43,3,5,5
8,44,0,8,6
8,44,1,15,7
8,44,2,13,5
8,44,4,19,2
9,45,1,20,4
9,45,2,23,4
9,45,0,24,8
9,45,4,15,8
9,45,5,26,8
9,46,0,27,7
9,46,3,29,8
9,46,4,23,5
9,46,5,23,6
9,47,2,13,5
9,47,1,11,3
9,47,4,1,3
9,47,3,9,7
9,47,0,7,4
9,48,2,11,4
9,48,0,18,3
9,48,1,15,6
9,48,5,19,2
9,49,2,8,9
9,49,1,9,5
9,49,3,13,7
9,49,4,21,7
9,49,5,14,9
10,50,5,11,4
10,50,0,19,6
10,50,3,11,4
10,50,4,8,6
10,50,2,17,8
10,51,4,24,4
10,51,3,24,6
10,51,0,23,6
10,51,2,30,3
10,51,5,23,8
10,52,1,8,8
10,52,5,8,10
10,52,4,7,7
10,52,2,5,5
10,53,4,11,4
10,53,5,16,8
10,53,2,22,6
10,53,3,12,7
10,54,1,21,4
10,54,3,31,6
10,54,0,21,6
10,54,2,18,5
11,55,3,15,7
11,55,5,12,6
11,55,1,12,2
11,55,4,14,6
11,56,3,6,2
11,56,4,10,4
11,56,1,5,1
11,56,5,9,4
11,57,1,20,7
11,57,2,18,3
11,57,3,18,7
11,57,4,19,7
11,57,0,20,4
11,58,4,10,7
11,58,0,22,6
11,58,3,11,7
11,58,1,15,6
11,59,3,13,6
11,59,1,6,8
11,59,2,7,3
11,59,4,4,7
11,59,0,10,7
