job,operation,machine,processing_time,energy_consumption
0,0,2,15,9
0,0,3,15,5
0,0,0,16,5
0,0,1,16,7
0,1,2,16,8
0,1,0,17,6
0,1,1,20,6
0,2,3,24,3
0,2,2,15,3
0,2,1,26,7
0,2,0,22,4
1,3,2,8,5
1,3,3,12,6
1,3,1,18,5
1,3,0,7,7
1,4,0,14,7
1,4,1,28,8
1,4,2,19,8
1,5,3,17,4
1,5,1,18,5
1,5,2,23,2
1,5,0,13,6
2,6,2,20,6
2,6,0,13,6
2,6,3,21,8
2,6,1,26,7
2,7,3,11,6
2,7,0,7,9
2,7,2,9,5
2,8,1,4,7
2,8,0,13,8
2,8,2,9,8
2,8,3,2,9
3,9,3,17,4
3,9,0,9,7
3,9,1,16,2
3,10,0,3,7
3,10,1,14,4
3,10,3,13,6
3,11,2,4,4
3,11,1,6,2
3,11,0,15,6
3,11,3,14,1
4,12,0,20,8
4,12,1,22,3
4,12,2,14,5
4,13,1,19,5
4,13,0,17,4
4,13,2,22,5
4,13,3,24,5
4,14,1,12,6
4,14,2,19,2
4,14,3,8,4
4,14,0,17,6
5,15,0,20,5
5,15,2,16,8
5,15,3,29,9
5,16,2,10,4
5,16,3,17,5
5,16,0,11,6
5,16,1,12,6
5,17,2,17,5
5,17,0,4,3
5,17,3,12,6
6,18,0,21,10
6,18,2,24,5
6,18,1,21,8
6,19,0,13,9
6,19,2,2,5
6,19,1,7,7
6,20,3,27,10
6,20,2,26,7
6,20,1,15,5
6,20,0,16,9
7,21,2,15,6
7,21,3,11,9
7,21,0,20,5
7,21,1,11,4
7,22,0,21,3
7,22,3,16,7
7,22,2,20,4
7,23,3,17,2
7,23,2,6,3
7,23,0,15,5
7,23,1,14,4
8,24,2,12,4
8,24,0,1,8
8,24,1,2,8
8,25,1,27,7
8,25,2,15,6
8,25,0,26,6
8,26,3,15,6
8,26,1,15,6
8,26,2,16,2
8,26,0,16,3
9,27,2,30,4
9,27,0,24,5
9,27,1,26,4
9,27,3,28,5
9,28,1,16,9
9,28,3,22,9
9,28,0,20,8
9,28,2,27,9
9,29,1,18,7
9,29,3,15,9
9,29,0,18,4
9,29,2,18,4
10,30,0,18,5
10,30,2,30,1
10,30,3,17,4
10,31,0,21,6
10,31,1,26,1
10,31,3,23,6
10,31,2,23,3
10,32,2,11,1
10,32,0,3,5
10,32,1,7,6
11,33,3,5,6
11,33,0,6,5
11,33,2,9,7
11,34,0,14,5
11,34,3,4,6
11,34,2,5,6
11,35,3,14,2
11,35,0,2,2
11,35,1,10,2
