job,operation,machine,processing_time,energy_consumption
0,0,0,16,4
0,0,3,6,8
0,0,1,17,6
0,1,3,26,6
0,1,2,24,8
0,1,1,25,4
0,1,0,27,4
0,2,2,22,7
0,2,1,27,4
0,2,0,15,2
0,2,3,25,6
1,3,3,24,8
1,3,1,22,6
1,3,0,20,4
1,3,2,17,8
1,4,2,9,7
1,4,3,2,2
1,4,1,8,2
1,5,2,13,7
1,5,1,11,3
1,5,3,10,7
1,5,0,7,5
2,6,2,6,3
2,6,1,8,4
2,6,0,3,2
2,7,2,19,6
2,7,0,14,7
2,7,3,18,10
2,8,2,30,7
2,8,1,20,8
2,8,0,29,8
3,9,0,12,6
3,9,3,6,7
3,9,2,9,6
3,9,1,15,7
3,10,1,7,5
3,10,2,14,2
3,10,0,1,2
3,11,3,24,3
3,11,1,13,3
3,11,2,25,6
3,11,0,14,3
4,12,0,3,7
4,12,1,2,4
4,12,2,15,4
4,12,3,8,8
4,13,1,14,8
4,13,2,11,4
4,13,0,14,4
4,13,3,9,6
4,14,3,5,6
4,14,1,11,8
4,14,2,2,8
5,15,2,4,5
5,15,0,3,5
5,15,3,5,7
5,16,1,16,7
5,16,0,15,6
5,16,3,12,5
5,16,2,20,3
5,17,3,12,4
5,17,0,7,6
5,17,1,9,4
6,18,0,30,7
6,18,2,31,9
6,18,3,20,8
6,19,3,18,4
6,19,0,20,5
6,19,1,8,4
6,19,2,16,6
6,20,2,27,4
6,20,1,21,3
6,20,0,19,4
7,21,0,12,5
7,21,3,12,5
7,21,2,3,10
7,21,1,2,8
7,22,1,16,8
7,22,3,13,8
7,22,2,21,7
7,23,3,30,2
7,23,2,21,1
7,23,1,26,3
8,24,3,11,1
8,24,2,18,4
8,24,1,21,4
8,24,0,12,1
8,25,1,13,6
8,25,3,26,8
8,25,0,16,9
8,26,0,13,3
8,26,1,1,2
8,26,2,9,3
8,26,3,11,4
9,27,1,14,9
9,27,0,13,5
9,27,3,17,6
9,28,1,5,6
9,28,2,7,5
9,28,3,10,2
9,28,0,14,4
9,29,2,28,4
9,29,1,23,4
9,29,0,15,4
9,29,3,28,7
10,30,3,20,6
10,30,0,17,5
10,30,1,20,6
10,31,0,23,8
10,31,3,16,4
10,31,1,22,9
10,32,1,16,6
10,32,0,16,8
10,32,2,28,9
11,33,2,9,7
11,33,0,3,5
11,33,3,1,4
11,33,1,8,4
11,34,2,22,4
11,34,0,27,2
11,34,3,22,6
11,34,1,19,4
11,35,2,19,4
11,35,0,23,3
11,35,3,25,4
