job,operation,machine,processing_time,energy_consumption
0,0,3,13,5
0,0,2,14,2
0,1,1,11,2
0,1,2,10,4
0,2,0,9,4
0,2,2,8,3
0,3,2,6,5
0,3,1,14,2
0,3,0,14,6
1,4,2,25,10
1,4,0,13,9
1,4,1,17,10
1,5,0,15,8
1,5,1,13,5
1,6,2,21,9
1,6,1,27,5
1,7,2,7,2
1,7,3,9,3
2,8,1,29,8
2,8,0,25,9
2,9,1,9,5
2,9,0,13,2
2,9,2,18,6
2,10,0,13,8
2,10,2,17,4
2,11,1,12,4
2,11,0,10,5
2,11,3,19,3
3,12,3,1,9
3,12,1,6,4
3,13,2,19,3
3,13,0,22,3
3,13,1,31,4
3,14,2,18,7
3,14,0,18,2
3,14,3,25,5
3,15,0,10,6
3,15,2,3,7
4,16,2,22,6
4,16,0,17,5
4,17,3,19,2
4,17,1,12,3
4,17,2,23,2
4,18,2,12,6
4,18,3,12,5
4,19,2,1,9
4,19,0,11,9
4,19,1,6,7
5,20,2,9,5
5,20,0,11,8
5,21,0,7,2
5,21,1,7,6
5,22,2,17,7
5,22,1,23,5
5,22,3,21,10
5,23,0,12,9
5,23,1,10,8
6,24,0,20,7
6,24,1,13,9
6,24,3,20,6
6,25,2,27,8
6,25,0,20,6
6,26,1,9,4
6,26,0,10,5
6,27,3,20,5
6,27,0,25,5
7,28,1,3,3
7,28,3,10,3
7,28,2,10,3
7,29,1,28,5
7,29,0,27,8
7,29,3,23,5
7,30,1,18,9
7,30,2,23,6
7,30,0,17,9
7,31,2,20,7
7,31,3,9,5
7,31,1,15,3
8,32,2,16,5
8,32,0,24,7
8,33,0,25,8
8,33,3,25,9
8,34,1,16,9
8,34,3,26,5
8,35,2,11,9
8,35,3,9,9
8,35,0,12,7
9,36,1,17,4
9,36,2,26,1
9,36,3,15,1
9,37,0,15,7
9,37,2,23,7
9,37,1,11,9
9,38,3,20,4
9,38,1,23,6
9,39,0,9,4
9,39,2,13,2
10,40,0,7,8
10,40,2,13,7
10,41,2,2,9
10,41,1,8,10
10,42,1,21,6
10,42,0,10,5
10,43,1,23,7
10,43,3,14,7
10,43,0,19,3
11,44,3,14,5
11,44,2,5,5
11,44,1,12,9
11,45,3,11,5
11,45,1,21,5
11,45,0,11,4
11,46,2,22,2
11,46,1,22,5
11,46,3,20,2
11,47,3,15,7
11,47,1,11,8
11,47,2,7,8
