job,operation,machine,processing_time,energy_consumption
0,0,3,11,9
0,0,0,19,9
0,0,1,14,6
0,1,2,16,9
0,1,1,2,10
0,1,3,16,5
0,1,0,16,6
0,2,0,10,8
0,2,1,7,8
0,2,3,6,9
0,3,1,22,8
0,3,0,18,4
0,3,3,17,8
1,4,3,17,7
1,4,0,26,8
1,4,1,25,5
1,4,2,25,5
1,5,2,15,10
1,5,0,10,8
1,5,3,12,10
1,6,0,5,5
1,6,3,10,8
1,6,1,10,4
1,7,2,17,8
1,7,1,19,7
1,7,0,15,4
1,7,3,6,9
2,8,1,14,1
2,8,2,10,5
2,8,3,8,1
2,8,0,16,1
2,9,1,9,3
2,9,0,10,2
2,9,2,18,4
2,9,3,19,6
2,10,2,16,7
2,10,1,8,5
2,10,3,16,7
2,10,0,13,7
2,11,2,7,3
2,11,1,10,5
2,11,3,10,3
2,11,0,1,3
3,12,3,7,4
3,12,0,4,7
3,12,1,3,5
3,13,0,18,4
3,13,2,9,9
3,13,3,5,5
3,14,1,7,7
3,14,0,14,9
3,14,3,10,7
3,14,2,5,8
3,15,0,8,9
3,15,2,3,5
3,15,3,1,7
3,15,1,13,7
4,16,2,29,6
4,16,3,29,3
4,16,0,29,3
4,16,1,30,4
4,17,1,6,3
4,17,3,9,4
4,17,0,19,7
4,18,2,22,3
4,18,0,16,3
4,18,3,14,6
4,19,0,11,5
4,19,3,12,8
4,19,1,4,5
4,19,2,5,4
5,20,1,15,8
5,20,3,11,6
5,20,2,14,6
5,20,0,15,6
5,21,3,10,9
5,21,2,3,5
5,21,0,9,9
5,21,1,10,5
5,22,1,22,7
5,22,3,11,6
5,22,2,10,6
5,23,0,3,5
5,23,3,12,4
5,23,2,8,8
5,23,1,5,8
6,24,3,6,4
6,24,2,7,8
6,24,0,7,4
6,25,0,10,3
6,25,1,15,5
6,25,3,10,4
6,25,2,1,6
6,26,0,9,7
6,26,3,8,8
6,26,1,7,6
6,26,2,5,8
6,27,1,25,7
6,27,3,22,7
6,27,0,29,8
7,28,0,11,7
7,28,2,11,4
7,28,3,15,5
7,28,1,16,6
7,29,1,22,4
7,29,3,21,5
7,29,2,22,2
7,29,0,21,5
7,30,0,14,6
7,30,3,14,5
7,30,1,7,9
7,30,2,5,8
7,31,0,14,6
7,31,2,4,7
7,31,3,10,2
7,31,1,17,6
8,32,2,16,7
8,32,0,15,6
8,32,3,11,7
8,33,0,16,4
8,33,1,15,8
8,33,2,15,8
8,33,3,24,4
8,34,1,15,5
8,34,0,10,9
8,34,3,15,8
8,34,2,20,9
8,35,1,29,5
8,35,3,18,8
8,35,2,16,6
8,35,0,30,6
9,36,1,24,7
9,36,2,11,4
9,36,3,21,4
9,36,0,22,4
9,37,2,20,9
9,37,0,21,9
9,37,3,30,5
9,38,1,12,7
9,38,0,8,8
9,38,2,1,6
9,38,3,3,8
9,39,2,17,5
9,39,1,17,3
9,39,3,10,5
10,40,3,11,7
10,40,0,2,5
10,40,2,9,6
10,41,1,13,5
10,41,3,7,7
10,41,0,18,3
10,42,2,10,7
10,42,3,22,8
10,42,1,18,4
10,43,1,19,3
10,43,3,20,4
10,43,2,23,5
10,43,0,15,8
11,44,3,28,4
11,44,1,20,8
11,44,0,25,4
11,45,1,20,5
11,45,2,19,4
11,45,3,20,5
11,45,0,17,8
11,46,2,17,10
11,46,0,13,5
11,46,1,8,7
11,47,2,19,10
11,47,3,15,8
11,47,1,22,9
11,47,0,23,5
