job,operation,machine,processing_time,energy_consumption
0,0,2,2,8
0,0,4,8,7
0,0,0,4,6
0,0,5,12,5
0,0,1,12,4
0,1,5,18,4
0,1,4,21,3
0,1,2,26,7
0,1,1,20,5
0,1,3,22,5
0,2,3,8,10
0,2,2,9,7
0,2,5,12,9
0,2,1,12,9
0,3,4,11,4
0,3,3,3,5
0,3,0,6,7
0,3,5,6,8
0,4,5,2,5
0,4,4,12,2
0,4,3,7,7
0,4,1,3,2
0,4,2,2,4
1,5,2,1,9
1,5,1,2,4
1,5,0,2,4
1,5,4,3,8
1,5,3,6,8
1,6,5,23,4
1,6,0,24,2
1,6,4,19,4
1,6,3,21,5
1,7,3,19,8
1,7,2,15,6
1,7,4,22,5
1,7,0,19,9
1,7,1,21,5
1,8,0,1,5
1,8,4,2,2
1,8,1,7,3
1,8,3,8,5
1,8,5,10,6
1,9,2,8,5
1,9,5,9,9
1,9,0,9,8
1,9,4,14,8
2,10,3,11,3
2,10,2,8,4
2,10,0,18,7
2,10,1,12,2
2,11,3,15,7
2,11,4,19,9
2,11,1,7,7
2,11,5,20,7
2,12,1,5,9
2,12,3,4,5
2,12,4,16,8
2,12,2,16,5
2,13,4,17,9
2,13,0,12,8
2,13,1,10,5
2,13,5,18,6
2,14,3,28,10
2,14,5,26,8
2,14,0,18,10
2,14,4,23,6
2,14,2,22,8
3,15,1,26,5
3,15,2,25,7
3,15,4,16,4
3,15,3,18,8
3,15,0,21,4
3,16,4,8,6
3,16,1,2,6
3,16,0,2,10
3,16,3,3,7
3,17,0,9,8
3,17,3,12,9
3,17,1,21,8
3,17,5,21,10
3,17,2,12,6
3,18,5,16,6
3,18,1,22,5
3,18,0,22,7
3,18,4,29,6
3,18,3,16,3
3,19,1,3,5
3,19,4,16,3
3,19,5,8,4
3,19,0,4,3
4,20,3,16,8
4,20,1,22,7
4,20,4,15,10
4,20,5,25,8
4,21,5,16,10
4,21,3,17,8
4,21,0,17,7
4,21,2,16,8
4,21,1,25,9
4,22,4,29,3
4,22,1,19,7
4,22,2,26,4
4,22,3,21,5
4,22,0,29,8
4,23,4,30,6
4,23,5,18,7
4,23,1,22,5
4,23,3,22,6
4,24,3,23,9
4,24,4,17,6
4,24,1,21,5
4,24,0,23,8
5,25,3,22,5
5,25,5,25,7
5,25,0,18,5
5,25,2,27,2
5,25,4,27,7
5,26,5,24,4
5,26,4,18,6
5,26,1,23,8
5,26,2,23,8
5,27,2,13,10
5,27,1,9,5
5,27,4,19,9
5,27,5,10,9
5,28,3,7,4
5,28,0,7,2
5,28,4,10,3
5,28,5,14,7
5,29,3,17,1
5,29,1,17,1
5,29,2,26,4
5,29,0,27,1
6,30,0,13,6
6,30,1,4,6
6,30,5,2,6
6,30,2,12,5
6,31,2,13,1
6,31,5,12,6
6,31,4,21,2
6,31,1,12,1
6,31,0,24,5
6,32,3,25,10
6,32,4,17,7
6,32,1,23,10
6,32,5,18,7
6,32,0,19,7
6,33,0,3,3
6,33,5,14,3
6,33,4,7,5
6,33,1,5,5
6,34,1,7,8
6,34,4,14,6
6,34,5,16,4
6,34,3,18,8
6,34,2,7,5
7,35,1,26,6
7,35,0,19,7
7,35,4,14,7
7,35,3,15,5
7,35,2,26,8
7,36,3,15,7
7,36,2,18,6
7,36,0,26,5
7,36,4,21,3
7,37,3,19,5
7,37,4,11,6
7,37,0,14,5
7,37,2,20,10
7,37,5,11,8
7,38,2,22,4
7,38,0,32,3
7,38,3,29,7
7,38,4,23,3
7,38,1,25,3
7,39,3,12,6
7,39,4,10,5
7,39,5,11,5
7,39,1,22,6
7,39,0,10,3
8,40,4,19,5
8,40,5,28,3
8,40,2,15,3
8,40,3,20,6
8,41,0,9,9
8,41,5,13,4
8,41,3,11,9
8,41,2,12,8
8,41,1,5,7
8,42,2,9,5
8,42,5,12,1
8,42,1,19,3
8,42,4,21,1
8,42,0,10,4
8,43,5,18,9
8,43,3,16,5
8,43,4,25,9
8,43,1,20,7
8,43,0,15,4
8,44,3,16,4
8,44,5,21,5
8,44,1,17,6
8,44,0,22,5
9,45,2,23,3
9,45,0,15,7
9,45,1,27,4
9,45,3,19,4
9,45,5,25,7
9,46,3,16,4
9,46,5,21,8
9,46,1,15,7
9,46,4,15,7
9,46,0,21,8
9,47,0,20,2
9,47,2,26,1
9,47,4,29,6
9,47,5,15,2
9,47,1,21,1
9,48,0,7,8
9,48,4,6,8
9,48,1,7,7
9,48,3,5,4
9,49,5,18,3
9,49,2,20,3
9,49,4,26,3
9,49,3,29,2
10,50,1,5,4
10,50,5,6,6
10,50,2,5,6
10,50,3,4,8
10,50,0,3,8
10,51,3,20,9
10,51,5,22,6
10,51,1,19,6
10,51,0,23,7
10,51,4,20,6
10,52,4,24,6
10,52,5,15,6
10,52,1,21,7
10,52,2,24,8
10,52,3,16,9
10,53,4,6,5
10,53,1,12,1
10,53,2,15,4
10,53,0,12,3
10,53,5,14,2
10,54,1,15,10
10,54,4,12,9
10,54,5,20,7
10,54,2,13,7
10,54,3,19,8
11,55,5,5,8
11,55,2,16,7
11,55,3,13,9
11,55,1,18,9
11,56,4,1,9
11,56,1,3,9
11,56,5,11,4
11,56,0,4,7
11,57,2,10,4
11,57,3,17,7
11,57,1,10,6
11,57,4,9,4
11,57,5,12,6
11,58,1,23,9
11,58,3,12,6
11,58,2,10,9
11,58,5,16,5
11,59,4,5,8
11,59,5,10,6
11,59,2,5,5
11,59,1,4,6
11,59,0,15,3
