job,operation,machine,processing_time,energy_consumption
0,0,2,21,6
0,0,1,26,9
0,0,3,30,8
0,0,4,28,6
0,1,4,11,5
0,1,3,16,3
0,1,1,6,1
0,1,0,8,1
0,1,2,15,2
0,2,2,4,5
0,2,4,11,5
0,2,1,1,4
0,2,3,1,6
0,3,4,9,5
0,3,3,13,9
0,3,0,14,6
0,3,1,19,7
0,4,1,6,4
0,4,4,9,1
0,4,2,19,2
0,4,0,12,4
0,4,3,15,6
1,5,1,16,4
1,5,4,10,3
1,5,0,14,4
1,5,2,23,5
1,6,0,4,6
1,6,4,3,4
1,6,1,15,6
1,6,2,2,3
1,7,4,9,6
1,7,1,16,4
1,7,0,2,7
1,7,3,12,8
1,8,3,16,4
1,8,1,24,9
1,8,4,15,8
1,8,2,14,8
1,9,3,13,4
1,9,0,17,6
1,9,1,20,8
1,9,2,22,9
2,10,4,8,9
2,10,0,10,8
2,10,1,1,8
2,10,3,5,5
2,10,2,2,10
2,11,0,20,4
2,11,1,26,8
2,11,4,16,8
2,11,3,28,5
2,11,2,14,4
2,12,4,24,4
2,12,2,26,4
2,12,1,18,5
2,12,3,24,3
2,13,0,23,6
2,13,4,26,2
2,13,2,16,4
2,13,1,14,5
2,14,3,8,6
2,14,4,21,7
2,14,1,14,9
2,14,2,8,7
3,15,4,5,5
3,15,0,6,3
3,15,1,4,2
3,15,3,3,4
3,15,2,14,4
3,16,1,15,6
3,16,3,18,5
3,16,4,8,2
3,16,0,14,2
3,16,2,18,7
3,17,1,9,6
3,17,0,13,10
3,17,3,20,5
3,17,4,11,5
3,17,2,17,6
3,18,4,14,8
3,18,2,9,4
3,18,1,7,9
3,18,3,10,6
3,19,0,12,3
3,19,2,12,2
3,19,3,22,3
3,19,4,21,2
3,19,1,13,5
4,20,3,12,8
4,20,0,10,8
4,20,4,10,8
4,20,2,15,5
4,20,1,16,6
4,21,1,23,4
4,21,0,29,3
4,21,2,21,6
4,21,3,18,4
4,21,4,25,4
4,22,0,7,4
4,22,4,12,5
4,22,2,16,5
4,22,1,7,4
4,22,3,8,7
4,23,0,25,4
4,23,2,23,4
4,23,4,14,5
4,23,3,20,2
4,24,0,12,5
4,24,2,12,9
4,24,1,9,6
4,24,4,10,9
4,24,3,21,6
5,25,2,16,6
5,25,1,8,4
5,25,4,5,6
5,25,0,14,6
5,25,3,13,8
5,26,0,12,7
5,26,1,1,4
5,26,3,4,3
5,26,2,7,5
5,27,3,3,2
5,27,1,3,3
5,27,2,14,4
5,27,0,6,3
5,27,4,12,4
5,28,3,23,7
5,28,1,19,9
5,28,0,20,6
5,28,4,18,9
5,28,2,31,7
5,29,0,11,8
5,29,4,9,5
5,29,1,8,8
5,29,2,11,9
6,30,4,18,10
6,30,0,15,7
6,30,3,17,5
6,30,1,11,7
6,31,2,21,4
6,31,1,23,4
6,31,4,18,6
6,31,3,24,1
6,32,0,13,4
6,32,2,5,8
6,32,3,9,8
6,32,1,2,9
6,32,4,5,7
6,33,1,25,3
6,33,4,28,8
6,33,3,19,4
6,33,2,19,8
6,34,0,15,6
6,34,3,10,2
6,34,2,19,3
6,34,4,13,5
7,35,1,23,6
7,35,2,15,5
7,35,4,25,9
7,35,0,12,7
7,36,3,16,4
7,36,4,7,3
7,36,1,5,8
7,36,2,11,4
7,37,3,21,3
7,37,2,11,4
7,37,1,15,6
7,37,4,17,3
7,38,3,26,5
7,38,1,19,4
7,38,4,21,5
7,38,2,22,5
7,38,0,24,7
7,39,4,10,9
7,39,3,4,7
7,39,1,6,7
7,39,0,10,8
7,39,2,9,6
8,40,1,15,7
8,40,4,17,4
8,40,0,13,7
8,40,2,15,5
8,41,4,13,4
8,41,1,11,3
8,41,2,16,3
8,41,0,5,2
8,42,4,5,7
8,42,3,5,5
8,42,0,14,5
8,42,2,14,8
8,42,1,12,5
8,43,3,25,5
8,43,4,13,5
8,43,2,24,10
8,43,1,16,8
8,44,4,29,6
8,44,0,22,3
8,44,1,28,2
8,44,3,18,2
8,44,2,19,3
9,45,2,15,6
9,45,4,19,6
9,45,3,19,3
9,45,1,25,3
9,46,1,20,5
9,46,4,15,3
9,46,3,15,8
9,46,2,26,3
9,46,0,25,8
9,47,0,27,3
9,47,1,25,6
9,47,2,28,4
9,47,4,16,6
9,47,3,27,2
9,48,4,16,5
9,48,1,14,6
9,48,3,7,7
9,48,2,10,6
9,49,1,26,9
9,49,3,24,5
9,49,0,15,6
9,49,2,28,9
9,49,4,22,10
